account_rewards,date
19.689109893821296,2024-01-03
-1340.4744262695312,2024-01-04
2248.7814025878906,2024-01-05
405.8268051147461,2024-01-06
535.4639764366148,2024-01-09
839.2677879333496,2024-01-10
809.7218589782715,2024-01-11
563.9249954223633,2024-01-12
-898.8868103027344,2024-01-13
-2246.635509490967,2024-01-17
-804.9451599121094,2024-01-18
1766.6860885620117,2024-01-19
1247.0100708007812,2024-01-20
-1008.0087280273438,2024-01-23
-84.02153778076172,2024-01-24
1538.9790267944336,2024-01-25
-153.30504989624023,2024-01-26
-845.2090339660645,2024-01-27
1585.8317108154297,2024-01-30
940.9544258117676,2024-01-31
1179.7606163024902,2024-02-01
-1349.3947410583496,2024-02-02
-308.5457344055176,2024-02-03
1914.8330383300781,2024-02-06
-527.1200828552246,2024-02-07
-407.22572326660156,2024-02-08
-155.21088409423828,2024-02-09
2022.5121688842773,2024-02-10
-292.5765800476074,2024-02-13
-94.22998046875,2024-02-14
-1516.6191749572754,2024-02-15
65.75177001953125,2024-02-16
-1906.7077903747559,2024-02-17
-131.2451171875,2024-02-21
814.6327056884766,2024-02-22
-1075.9202613830566,2024-02-23
296.5960578918457,2024-02-24
-626.2484970092773,2024-02-27
188.0254898071289,2024-02-28
2483.376564025879,2024-03-01
899.3465881347656,2024-03-02
597.5035285949707,2024-03-03
-1091.1940155029297,2024-03-06
-708.3404426574707,2024-03-07
-1743.9916801452637,2024-03-08
-818.4539070129395,2024-03-09
162.53747177124023,2024-03-10
2287.9270629882812,2024-03-13
23.832366943359375,2024-03-14
2149.9859046936035,2024-03-15
-1153.6186561584473,2024-03-16
16.86465835571289,2024-03-17
887.2549629211426,2024-03-20
-1557.935230255127,2024-03-21
623.2185745239258,2024-03-22
678.3271484375,2024-03-23
410.1318168640137,2024-03-24
-238.83256912231445,2024-03-27
1262.3093795776367,2024-03-28
507.9774932861328,2024-03-29
1435.6149291992188,2024-03-30
-19.55740737915039,2024-03-31
-284.60347747802734,2024-04-03
86.04634094238281,2024-04-04
432.0567054748535,2024-04-05
-82.6705436706543,2024-04-06
-792.5277252197266,2024-04-10
413.1085968017578,2024-04-11
1843.9093475341797,2024-04-12
476.02639389038086,2024-04-13
