,date,account_value
0,2024-01-03,100000.0
1,2024-01-04,100019.68910989382
2,2024-01-05,98679.21468362429
3,2024-01-06,100927.99608621218
4,2024-01-09,101333.82289132693
5,2024-01-10,101869.28686776354
6,2024-01-11,102708.55465569689
7,2024-01-12,103518.27651467516
8,2024-01-13,104082.20151009753
9,2024-01-17,103183.31469979479
10,2024-01-18,100936.67919030382
11,2024-01-19,100131.73403039172
12,2024-01-20,101898.42011895373
13,2024-01-23,103145.43018975451
14,2024-01-24,102137.42146172716
15,2024-01-25,102053.3999239464
16,2024-01-26,103592.37895074084
17,2024-01-27,103439.0739008446
18,2024-01-30,102593.86486687853
19,2024-01-31,104179.69657769396
20,2024-02-01,105120.65100350573
21,2024-02-02,106300.41161980822
22,2024-02-03,104951.01687874987
23,2024-02-06,104642.47114434435
24,2024-02-07,106557.30418267443
25,2024-02-08,106030.1840998192
26,2024-02-09,105622.9583765526
27,2024-02-10,105467.74749245837
28,2024-02-13,107490.25966134264
29,2024-02-14,107197.68308129504
30,2024-02-15,107103.45310082629
31,2024-02-16,105586.83392586901
32,2024-02-17,105652.58569588854
33,2024-02-21,103745.87790551379
34,2024-02-22,103614.63278832629
35,2024-02-23,104429.26549401476
36,2024-02-24,103353.3452326317
37,2024-02-27,103649.94129052355
38,2024-02-28,103023.69279351427
39,2024-03-01,103211.7182833214
40,2024-03-02,105695.09484734728
41,2024-03-03,106594.44143548205
42,2024-03-06,107191.94496407702
43,2024-03-07,106100.75094857409
44,2024-03-08,105392.41050591662
45,2024-03-09,103648.41882577135
46,2024-03-10,102829.96491875841
47,2024-03-13,102992.50239052965
48,2024-03-14,105280.42945351794
49,2024-03-15,105304.2618204613
50,2024-03-16,107454.2477251549
51,2024-03-17,106300.62906899645
52,2024-03-20,106317.49372735216
53,2024-03-21,107204.7486902733
54,2024-03-22,105646.81346001818
55,2024-03-23,106270.0320345421
56,2024-03-24,106948.3591829796
57,2024-03-27,107358.49099984362
58,2024-03-28,107119.6584307213
59,2024-03-29,108381.96781029894
60,2024-03-30,108889.94530358507
61,2024-03-31,110325.5602327843
62,2024-04-03,110306.00282540514
63,2024-04-04,110021.39934792712
64,2024-04-05,110107.4456888695
65,2024-04-06,110539.50239434435
66,2024-04-10,110456.8318506737
67,2024-04-11,109664.30412545397
68,2024-04-12,110077.41272225573
69,2024-04-13,111921.32206978991
70,2024-04-14,112397.34846368029
